#{"t_start": 1777334239.2332623, "env_id": "MountainCarContinuous-v0"}
r,l,t
-960.0,999,2.7194
-581.0,711,4.653033
-960.0,999,7.325918
-976.0,999,10.016408
-183.0,288,10.783571
-45.0,147,11.191746
-47.0,148,11.604981
-37.0,140,11.973635
-77.0,178,12.464153
-48.0,148,12.850879
-57.0,159,13.296347
-60.0,161,13.743286
-45.0,146,14.12783
-42.0,143,14.533705
-115.0,217,15.124947
-66.0,167,15.578105
-42.0,143,15.965179
-120.0,227,16.620426
-32.0,134,16.993546
-38.0,139,17.383274
-35.0,137,17.762635
-94.0,195,18.305161
-34.0,134,18.677029
-30.0,130,19.041725
-29.0,130,19.396122
-92.0,192,19.918853
-37.0,138,20.304661
-123.0,225,20.916734
-130.0,233,21.593226
-27.0,127,21.971066
-29.0,131,22.319901
-38.0,138,22.693249
-36.0,137,23.106749
-93.0,195,23.681112
-34.0,136,24.049578
-121.0,223,24.671926
-128.0,230,25.301548
-86.0,189,25.812692
-114.0,216,26.388736
-84.0,186,26.875746
-279.0,383,27.896595
-23.0,123,28.238701
-24.0,125,28.580638
-163.0,266,29.309834
-24.0,124,29.663173
-21.0,122,29.998936
-90.0,193,30.529304
-51.0,152,30.949115
-24.0,124,31.30008
-56.0,157,31.713134
-60.0,160,32.149493
-67.0,168,32.627979
-22.0,123,32.987513
-96.0,196,33.522443
-91.0,193,34.045142
-20.0,122,34.384852
-95.0,200,34.94006
-24.0,126,35.268148
5.0,95,35.529659
4.0,96,35.805443
-21.0,122,36.170144
-73.0,179,36.652009
-69.0,170,37.158634
-22.0,122,37.492593
-24.0,126,37.855325
-78.0,180,38.365206
-74.0,175,38.857672
-54.0,154,39.269366
2.0,98,39.546238
-48.0,149,39.956938
-58.0,159,40.38716
-126.0,229,40.999625
-24.0,124,41.349623
-55.0,157,41.765248
-1.0,101,42.045001
-47.0,149,42.45355
-52.0,153,42.8651
-28.0,128,43.215947
-91.0,195,43.732897
-28.0,129,44.081467
-87.0,188,44.587449
-130.0,237,45.203881
-25.0,126,45.54603
-52.0,153,45.969793
-55.0,156,46.400481
-50.0,155,46.819474
-22.0,123,47.160193
-96.0,198,47.694329
-60.0,160,48.175076
-23.0,123,48.527981
-51.0,152,48.968687
-27.0,127,49.307539
-77.0,182,49.80393
-45.0,148,50.221266
-46.0,146,50.632932
-22.0,122,50.972032
-100.0,203,51.568575
4.0,96,51.834703
-1.0,101,52.117123
-20.0,120,52.466545
-21.0,121,52.799958
-22.0,122,53.1834
-60.0,160,53.628044
-24.0,124,53.989805
-21.0,121,54.341836
-21.0,121,54.736048
-75.0,175,55.225888
-51.0,151,55.645777
4.0,97,55.916562
-30.0,130,56.267166
-21.0,122,56.615216
3.0,98,56.880819
-46.0,158,57.35051
-29.0,129,57.712819
1.0,99,57.991505
28.0,72,58.232554
-37.0,137,58.642623
-40.0,140,59.048369
-23.0,124,59.382407
-29.0,129,59.752379
-26.0,126,60.099591
-28.0,129,60.44695
5.0,95,60.70905
-54.0,154,61.135361
6.0,94,61.400208
-86.0,190,61.919652
4.0,96,62.181764
