#{"t_start": 1777335602.488024, "env_id": "MountainCarContinuous-v0"}
r,l,t
-990.0,999,0.153476
-988.0,999,0.291198
-984.0,999,0.443478
-987.0,999,0.587063
-989.0,999,0.705503
-993.0,999,0.833909
-989.0,999,0.950686
-989.0,999,1.100665
-988.0,999,1.227082
-986.0,999,1.350688
-472.0,573,6.212528
-991.0,999,15.171393
-994.0,999,23.767125
-989.0,999,32.464511
-461.0,575,37.470356
-987.0,999,46.037951
-777.0,878,53.984805
-130.0,230,56.073396
-999.0,999,65.241652
-999.0,999,74.401771
-353.0,453,78.477455
28.0,72,79.113513
30.0,70,79.753976
26.0,74,80.398008
27.0,73,81.036545
24.0,76,81.76189
26.0,74,82.405169
23.0,77,83.119029
25.0,75,83.775187
26.0,74,84.461138
27.0,73,85.093396
27.0,73,85.733683
28.0,72,86.389625
27.0,73,87.115165
29.0,71,87.695286
25.0,75,88.404123
27.0,73,89.041402
28.0,72,89.682958
28.0,72,90.327224
31.0,69,90.960663
30.0,70,91.5311
29.0,71,92.210424
31.0,69,92.889278
29.0,71,93.543535
30.0,70,94.123594
31.0,69,94.761056
30.0,70,95.425397
29.0,71,96.083818
30.0,70,96.642152
28.0,73,97.33344
26.0,74,97.966775
26.0,74,98.591879
28.0,72,99.209659
30.0,70,99.818227
30.0,70,100.455884
28.0,72,101.094611
29.0,71,101.668183
30.0,70,102.384823
26.0,74,103.046264
-70.0,171,104.616385
29.0,71,105.254148
28.0,72,105.904436
28.0,72,106.551034
31.0,69,107.138917
28.0,72,107.790697
30.0,70,108.4357
31.0,69,109.082431
27.0,73,109.728828
28.0,72,110.37738
30.0,70,111.028315
26.0,74,111.673329
30.0,70,112.322085
28.0,72,112.960087
26.0,74,113.635895
22.0,78,114.358154
24.0,76,115.001609
28.0,72,115.637292
31.0,70,116.27707
28.0,72,116.932753
29.0,71,117.582331
27.0,73,118.229138
27.0,73,118.865427
30.0,70,119.488133
24.0,76,120.106368
24.0,76,120.793905
24.0,76,121.423761
29.0,71,122.056418
27.0,73,122.704944
26.0,74,123.333106
29.0,71,123.958534
25.0,75,124.662188
30.0,71,125.281429
26.0,74,125.913284
25.0,75,126.539048
27.0,73,127.160181
28.0,72,127.78621
27.0,73,128.410088
24.0,76,129.105553
20.0,80,129.797911
28.0,72,130.421461
30.0,70,131.046973
29.0,71,131.703835
18.0,82,132.427432
30.0,70,133.1063
29.0,71,133.711948
28.0,72,134.368767
27.0,73,135.065117
29.0,71,135.697406
26.0,74,136.433517
29.0,71,137.054397
27.0,73,137.689472
28.0,72,138.324937
28.0,72,138.940482
27.0,73,139.551773
26.0,74,140.176965
28.0,72,140.799757
29.0,71,141.410548
31.0,69,142.02829
22.0,78,142.652193
29.0,71,143.268299
28.0,72,143.894593
27.0,73,144.50687
27.0,73,145.125751
28.0,72,145.742567
27.0,73,146.428617
28.0,72,147.046993
30.0,70,147.594097
22.0,78,148.274972
20.0,80,148.957123
29.0,71,149.567108
26.0,74,150.187774
29.0,71,150.800925
28.0,72,151.412452
25.0,75,152.028101
29.0,71,152.640002
22.0,78,153.319152
30.0,70,153.938035
24.0,76,154.549398
32.0,68,155.176352
26.0,74,155.810964
28.0,72,156.423476
30.0,70,157.063828
31.0,69,157.616144
30.0,70,158.217885
27.0,73,158.80646
26.0,74,159.458326
27.0,73,160.048599
30.0,70,160.571444
28.0,72,161.201491
23.0,77,161.888566
29.0,71,162.52256
26.0,74,163.149698
25.0,75,163.828543
30.0,70,164.383749
24.0,76,165.06838
31.0,69,165.61548
24.0,76,166.307244
29.0,71,166.922089
30.0,70,167.550027
30.0,70,168.126539
27.0,73,168.740537
31.0,69,169.347613
28.0,72,169.949175
20.0,80,170.64256
29.0,71,171.264276
27.0,73,171.904061
26.0,74,172.57942
31.0,69,173.207901
28.0,72,173.838052
31.0,69,174.467627
29.0,71,175.031511
28.0,72,175.640062
25.0,75,176.336714
26.0,74,176.960901
23.0,77,177.648175
26.0,74,178.267823
29.0,71,178.898571
31.0,69,179.450746
30.0,70,180.070683
28.0,72,180.683972
31.0,69,181.305316
29.0,71,181.93652
30.0,72,182.546005
29.0,71,183.15979
31.0,69,183.708542
30.0,70,184.340533
31.0,69,184.942419
28.0,72,185.571851
25.0,75,186.284512
31.0,69,186.89567
33.0,67,187.429296
28.0,72,188.029574
25.0,75,188.695871
31.0,69,189.320762
28.0,72,189.963288
28.0,72,190.661581
30.0,70,191.319782
29.0,71,192.075734
26.0,74,192.718735
27.0,73,193.394724
32.0,68,193.968148
32.0,69,194.621815
29.0,71,195.264143
21.0,79,195.962977
12.0,88,196.720097
25.0,75,197.347263
27.0,73,197.976115
31.0,69,198.623183
27.0,73,199.246698
28.0,72,199.865221
30.0,70,200.490598
26.0,74,201.105015
22.0,78,201.801233
30.0,70,202.432638
30.0,70,202.988838
29.0,71,203.620963
26.0,74,204.259998
27.0,73,204.957411
31.0,69,205.523667
28.0,72,206.161755
30.0,70,206.80859
28.0,72,207.444205
30.0,70,208.078522
31.0,69,208.640459
27.0,73,209.256993
31.0,69,209.870124
27.0,73,210.48652
28.0,72,211.123656
26.0,74,211.748919
27.0,73,212.43686
26.0,74,213.061205
30.0,70,213.696703
28.0,72,214.316982
32.0,68,214.904528
32.0,68,215.579262
30.0,70,216.200437
27.0,73,216.891035
31.0,69,217.576223
25.0,75,218.314659
24.0,76,219.032506
31.0,69,219.691505
29.0,71,220.262419
30.0,71,220.888871
30.0,70,221.520365
32.0,68,222.216694
31.0,70,222.819207
31.0,69,223.468441
28.0,72,224.130864
30.0,70,224.796296
28.0,72,225.433809
28.0,72,226.063068
33.0,67,226.613995
28.0,72,227.247952
28.0,72,227.905501
29.0,71,228.565133
29.0,71,229.204309
32.0,68,229.761051
21.0,79,230.462369
21.0,79,231.190859
31.0,69,231.859996
24.0,76,232.659085
32.0,68,233.465753
27.0,73,234.208243
25.0,75,234.893515
29.0,72,235.53253
28.0,72,236.220583
26.0,74,236.885573
25.0,75,237.673191
29.0,71,238.393953
25.0,75,239.114449
16.0,84,239.906707
26.0,74,240.55275
15.0,85,241.277639
30.0,70,241.909325
31.0,69,242.533833
23.0,77,243.16456
29.0,71,243.792758
30.0,70,244.419359
32.0,68,245.058387
30.0,70,245.641233
21.0,79,246.366296
28.0,72,247.041489
25.0,75,247.80095
19.0,81,248.601972
33.0,69,249.199086
31.0,69,249.880511
28.0,72,250.592589
29.0,71,251.259093
